image_id,image_path,strategy,false_positive
1nhihsok6b0e1_jpeg.rf.595e2683febc8f54deb37b43ba7e9503.jpg,data/raw/valid/images/1nhihsok6b0e1_jpeg.rf.595e2683febc8f54deb37b43ba7e9503.jpg,high_only,hot sauce
1nhihsok6b0e1_jpeg.rf.595e2683febc8f54deb37b43ba7e9503.jpg,data/raw/valid/images/1nhihsok6b0e1_jpeg.rf.595e2683febc8f54deb37b43ba7e9503.jpg,high_only,jam
1nhihsok6b0e1_jpeg.rf.595e2683febc8f54deb37b43ba7e9503.jpg,data/raw/valid/images/1nhihsok6b0e1_jpeg.rf.595e2683febc8f54deb37b43ba7e9503.jpg,high_only,mayonnaise
1nhihsok6b0e1_jpeg.rf.595e2683febc8f54deb37b43ba7e9503.jpg,data/raw/valid/images/1nhihsok6b0e1_jpeg.rf.595e2683febc8f54deb37b43ba7e9503.jpg,high_only,mustard
1nhihsok6b0e1_jpeg.rf.595e2683febc8f54deb37b43ba7e9503.jpg,data/raw/valid/images/1nhihsok6b0e1_jpeg.rf.595e2683febc8f54deb37b43ba7e9503.jpg,high_only,relish
1nhihsok6b0e1_jpeg.rf.595e2683febc8f54deb37b43ba7e9503.jpg,data/raw/valid/images/1nhihsok6b0e1_jpeg.rf.595e2683febc8f54deb37b43ba7e9503.jpg,high_only,salad dressing
1nhihsok6b0e1_jpeg.rf.595e2683febc8f54deb37b43ba7e9503.jpg,data/raw/valid/images/1nhihsok6b0e1_jpeg.rf.595e2683febc8f54deb37b43ba7e9503.jpg,high_only,yogurt
0254_jpeg.rf.965543c5fa074e6572b93b733847c236.jpg,data/raw/valid/images/0254_jpeg.rf.965543c5fa074e6572b93b733847c236.jpg,high_only,carrot
0254_jpeg.rf.965543c5fa074e6572b93b733847c236.jpg,data/raw/valid/images/0254_jpeg.rf.965543c5fa074e6572b93b733847c236.jpg,high_only,lettuce
0254_jpeg.rf.965543c5fa074e6572b93b733847c236.jpg,data/raw/valid/images/0254_jpeg.rf.965543c5fa074e6572b93b733847c236.jpg,high_only,pasta
0254_jpeg.rf.965543c5fa074e6572b93b733847c236.jpg,data/raw/valid/images/0254_jpeg.rf.965543c5fa074e6572b93b733847c236.jpg,high_only,salad dressing
0254_jpeg.rf.965543c5fa074e6572b93b733847c236.jpg,data/raw/valid/images/0254_jpeg.rf.965543c5fa074e6572b93b733847c236.jpg,high_only,vinegar
0254_jpeg.rf.965543c5fa074e6572b93b733847c236.jpg,data/raw/valid/images/0254_jpeg.rf.965543c5fa074e6572b93b733847c236.jpg,high_only,yogurt
4mvnskt72n8e1_jpeg.rf.d6d6a59ab65353f694b0bc1d89c348c1.jpg,data/raw/valid/images/4mvnskt72n8e1_jpeg.rf.d6d6a59ab65353f694b0bc1d89c348c1.jpg,high_only,butter
4mvnskt72n8e1_jpeg.rf.d6d6a59ab65353f694b0bc1d89c348c1.jpg,data/raw/valid/images/4mvnskt72n8e1_jpeg.rf.d6d6a59ab65353f694b0bc1d89c348c1.jpg,high_only,mayonnaise
20250621_150036_jpg.rf.a973c2823304b1209f3edfe6f40eb2d8.jpg,data/raw/valid/images/20250621_150036_jpg.rf.a973c2823304b1209f3edfe6f40eb2d8.jpg,high_only,meat
20250621_150036_jpg.rf.a973c2823304b1209f3edfe6f40eb2d8.jpg,data/raw/valid/images/20250621_150036_jpg.rf.a973c2823304b1209f3edfe6f40eb2d8.jpg,high_only,peach
20250620_232903_jpg.rf.738732a82979928a2e5a2495f2729304.jpg,data/raw/valid/images/20250620_232903_jpg.rf.738732a82979928a2e5a2495f2729304.jpg,high_only,cheese
20250620_232903_jpg.rf.738732a82979928a2e5a2495f2729304.jpg,data/raw/valid/images/20250620_232903_jpg.rf.738732a82979928a2e5a2495f2729304.jpg,high_only,chicken
20250619_171703_jpg.rf.f2c98ffe198a124c809789b5af90b5fb.jpg,data/raw/valid/images/20250619_171703_jpg.rf.f2c98ffe198a124c809789b5af90b5fb.jpg,high_only,mustard
20250619_171703_jpg.rf.f2c98ffe198a124c809789b5af90b5fb.jpg,data/raw/valid/images/20250619_171703_jpg.rf.f2c98ffe198a124c809789b5af90b5fb.jpg,high_only,yogurt
0990_jpeg.rf.97fa096fb84d3aa9f434177b9ae78c52.jpg,data/raw/valid/images/0990_jpeg.rf.97fa096fb84d3aa9f434177b9ae78c52.jpg,high_only,cheese
0990_jpeg.rf.97fa096fb84d3aa9f434177b9ae78c52.jpg,data/raw/valid/images/0990_jpeg.rf.97fa096fb84d3aa9f434177b9ae78c52.jpg,high_only,grape
0990_jpeg.rf.97fa096fb84d3aa9f434177b9ae78c52.jpg,data/raw/valid/images/0990_jpeg.rf.97fa096fb84d3aa9f434177b9ae78c52.jpg,high_only,hummus
0990_jpeg.rf.97fa096fb84d3aa9f434177b9ae78c52.jpg,data/raw/valid/images/0990_jpeg.rf.97fa096fb84d3aa9f434177b9ae78c52.jpg,high_only,mango
0990_jpeg.rf.97fa096fb84d3aa9f434177b9ae78c52.jpg,data/raw/valid/images/0990_jpeg.rf.97fa096fb84d3aa9f434177b9ae78c52.jpg,high_only,mushroom
0990_jpeg.rf.97fa096fb84d3aa9f434177b9ae78c52.jpg,data/raw/valid/images/0990_jpeg.rf.97fa096fb84d3aa9f434177b9ae78c52.jpg,high_only,salad
0990_jpeg.rf.97fa096fb84d3aa9f434177b9ae78c52.jpg,data/raw/valid/images/0990_jpeg.rf.97fa096fb84d3aa9f434177b9ae78c52.jpg,high_only,soy sauce
t8c0bd9je7351_jpg.rf.49ef46ac4d7e7a3d4f0816027d599b7a.jpg,data/raw/valid/images/t8c0bd9je7351_jpg.rf.49ef46ac4d7e7a3d4f0816027d599b7a.jpg,high_only,bread
