image_id,image_path,visible_ingredients
pwhztabat8v31_jpg.rf.22b0e388b2350081380800e2bea63480.jpg,data/raw/valid/images/pwhztabat8v31_jpg.rf.22b0e388b2350081380800e2bea63480.jpg,"strawberry, blueberry, egg, milk, cheese, mayonnaise, yogurt, ketchup, pickle, cheese, bellpepper, butter, "
1nhihsok6b0e1_jpeg.rf.595e2683febc8f54deb37b43ba7e9503.jpg,data/raw/valid/images/1nhihsok6b0e1_jpeg.rf.595e2683febc8f54deb37b43ba7e9503.jpg,"eggplant, tortilla, bread, egg, bellpepper, tomato, cheese, taco sauce, ranch, steak sauce, soya sauce, milk, pickle"
0254_jpeg.rf.965543c5fa074e6572b93b733847c236.jpg,data/raw/valid/images/0254_jpeg.rf.965543c5fa074e6572b93b733847c236.jpg,"roasted chicken, egg, milk, bone broth, cheese, milk, butter, mustard"
4mvnskt72n8e1_jpeg.rf.d6d6a59ab65353f694b0bc1d89c348c1.jpg,data/raw/valid/images/4mvnskt72n8e1_jpeg.rf.d6d6a59ab65353f694b0bc1d89c348c1.jpg,"blueberry, garlic, egg, chicken, ketchup, yogurt, mustard"
20250621_150036_jpg.rf.a973c2823304b1209f3edfe6f40eb2d8.jpg,data/raw/valid/images/20250621_150036_jpg.rf.a973c2823304b1209f3edfe6f40eb2d8.jpg,"cucumber, bellpepper, lemon/lime, banana, tomato, apple, ketchup, cheese, lettuce, greek yogurt, chicken, carrot, potato"
20250620_232903_jpg.rf.738732a82979928a2e5a2495f2729304.jpg,data/raw/valid/images/20250620_232903_jpg.rf.738732a82979928a2e5a2495f2729304.jpg,"spinach, carrot, tomato, butter, yogurt, apple, tomato, cucumber, banana, blueberry, meat, pickle, bell pepper"
20250619_171703_jpg.rf.f2c98ffe198a124c809789b5af90b5fb.jpg,data/raw/valid/images/20250619_171703_jpg.rf.f2c98ffe198a124c809789b5af90b5fb.jpg,"carrot, pickle, chilli sauce, jam, mushroom"
0990_jpeg.rf.97fa096fb84d3aa9f434177b9ae78c52.jpg,data/raw/valid/images/0990_jpeg.rf.97fa096fb84d3aa9f434177b9ae78c52.jpg,"almond milk, pickle, strawberry, beans, oat milk"
t8c0bd9je7351_jpg.rf.49ef46ac4d7e7a3d4f0816027d599b7a.jpg,data/raw/valid/images/t8c0bd9je7351_jpg.rf.49ef46ac4d7e7a3d4f0816027d599b7a.jpg,"cheese, milk, pickle, chilli sauce, yogurt, avacado, tomato, onion, hummus, strawberry, orange, mango"
cb729pj3e34e1_jpeg.rf.cccc83aabe2e8a7871fbe5234bd4619d.jpg,data/raw/valid/images/cb729pj3e34e1_jpeg.rf.cccc83aabe2e8a7871fbe5234bd4619d.jpg,"corn dog, coke, mayonnaise, meat, cheese, apple, yogurt, jam, mustard, ketchup, jam"
0827_jpeg.rf.85776737bff4d474bd78b4624c5b9693.jpg,data/raw/valid/images/0827_jpeg.rf.85776737bff4d474bd78b4624c5b9693.jpg,"egg, blueberry, yogurt, protien shake, tomato, orange, apple, bellpepper, salad"
jm5m4firr78e1_jpeg.rf.0fcdeae246653bf2c4a495df2eb74685.jpg,data/raw/valid/images/jm5m4firr78e1_jpeg.rf.0fcdeae246653bf2c4a495df2eb74685.jpg,"meat, milk, orange juice, cake, garlic, apple, coconut, ketchup, blueberry, spring onion, coconut milk, hot sauce, pickle"
DSC_6037_JPG_jpg.rf.e2101670d0bbd45cf7da6475f555ec29.jpg,data/raw/valid/images/DSC_6037_JPG_jpg.rf.e2101670d0bbd45cf7da6475f555ec29.jpg,"potato, cheese, carrot, meat, lemon, egg, bluberry, tomato, milk, flour"
